,Unnamed: 0,run,sentence,sentence_offset_runsconcatenated,sentence_offset_inrun,mentalizing_event,sentiment,sentence_preprocessed,Topic1,Topic2,Topic3,Topic4,Topic5,Dominant_topic
0,0,story1,"The email came late one afternoon as Dr Carmen Reed was sitting in her office, filling out medical charts for the patients she had seen that day.",11,11,0,0.0,"['email', 'late', 'one', 'afternoon', 'dr', 'carmen', 'reed', 'sitting', 'office', 'filling', 'medical', 'chart', 'patient', 'seen', 'day']",0.78,0.2,0.01,0.01,0.01,1
1,1,story1,"It had been a long day at the busy clinic in Chicago where she worked, and Carmen was tired and ready to go home.",18,18,0,-0.0833333333333333,"['long', 'day', 'busy', 'clinic', 'chicago', 'worked', 'carmen', 'tired', 'ready', 'go', 'home']",0.01,0.01,0.01,0.96,0.01,4
2,2,story1,But the email’s strange subject line caught her eye:,23,23,0,-0.1111111111111111,"['email', 'strange', 'subject', 'line', 'caught', 'eye']",0.02,0.02,0.02,0.93,0.02,4
3,3,story1,"“Fellow doctor, I need your help.”",26,26,1,0.3333333333333333,"['fellow', 'doctor', 'need', 'help']",0.03,0.03,0.03,0.03,0.9,5
4,4,story1, It was sent by someone named Dr John Torreson.,29,29,0,0.0,"['sent', 'someone', 'named', 'dr', 'john', 'torreson']",0.02,0.02,0.02,0.02,0.93,5
5,5,story1,"Intrigued, Carmen began to read.",32,32,0,0.0,"['intrigued', 'carmen', 'began', 'read']",0.03,0.9,0.03,0.03,0.03,2
6,6,story1,Dr Torreson said he was a classmate of Carmen’s from medical school.,38,38,0,0.0,"['dr', 'torreson', 'classmate', 'carmen', 'medical', 'school']",0.93,0.02,0.02,0.02,0.02,1
7,7,story1,"She didn’t recognize his name — but then again, she wasn’t great with names.",42,42,1,0.2142857142857142,"['recognize', 'name', 'great', 'name']",0.03,0.03,0.9,0.03,0.03,3
8,8,story1,"Dr Torreson had spent the last two years working in a remote part of Peru, deep in the Amazon jungle, where a nonprofit organization had built a small medical clinic for the villagers.",55,55,0,0.0,"['dr', 'torreson', 'spent', 'last', 'two', 'year', 'working', 'remote', 'part', 'peru', 'deep', 'amazon', 'jungle', 'nonprofit', 'organization', 'built', 'small', 'medical', 'clinic', 'villager']",0.01,0.01,0.98,0.01,0.01,3
9,9,story1,"But, Dr Torreson wrote, he needed to return to the United States on very short notice.",61,61,0,0.0625,"['dr', 'torreson', 'wrote', 'needed', 'return', 'united', 'state', 'short', 'notice']",0.96,0.01,0.01,0.01,0.01,1
10,10,story1,"The clinic was the villagers’ only source of health care, and with Dr Torreson leaving, the nonprofit was threatening to close it down unless a replacement doctor could be found immediately.",72,72,0,0.0,"['clinic', 'villager', 'source', 'health', 'care', 'dr', 'torreson', 'leaving', 'nonprofit', 'threatening', 'close', 'unless', 'replacement', 'doctor', 'found', 'immediately']",0.01,0.97,0.01,0.01,0.01,2
11,11,story1,"Even if Carmen could spare a couple of months, it would be an enormous help.",77,77,1,0.1333333333333333,"['even', 'carmen', 'spare', 'couple', 'month', 'enormous', 'help']",0.94,0.01,0.01,0.01,0.01,1
12,12,story1,"Dr Torreson wrote, “It breaks my heart to leave this place, but I really hope you consider coming to work here.",84,84,1,0.0476190476190476,"['dr', 'torreson', 'wrote', 'break', 'heart', 'leave', 'place', 'really', 'hope', 'consider', 'coming', 'work']",0.01,0.01,0.01,0.01,0.97,5
13,13,story1,I think you would find it very rewarding.”,86,86,1,0.25,"['think', 'find', 'rewarding']",0.03,0.03,0.03,0.03,0.87,5
14,14,story1,"Later that night, Carmen thought it over.",91,91,0,0.0,"['later', 'night', 'carmen', 'thought']",0.03,0.9,0.03,0.03,0.03,2
15,15,story1,There was little tying her to Chicago.,93,93,0,0.0,"['little', 'tying', 'chicago']",0.03,0.87,0.03,0.03,0.03,2
16,16,story1,"She had friends, a house, her Sunday morning tennis game — but all of that would be there when she got back.",100,100,0,0.0,"['friend', 'house', 'sunday', 'morning', 'tennis', 'game', 'back']",0.01,0.01,0.94,0.01,0.01,3
17,17,story1,"Besides, it was November, and the thought of the upcoming winter was enough to make a few months in the rainforest sound pretty appealing.",108,108,0,0.125,"['besides', 'november', 'thought', 'upcoming', 'winter', 'enough', 'month', 'rainforest', 'sound', 'pretty', 'appealing']",0.01,0.01,0.01,0.01,0.96,5
18,18,story1,"She reached for her laptop and quickly typed her response, hitting “send” before she could change her mind.",115,115,1,0.0555555555555555,"['reached', 'laptop', 'quickly', 'typed', 'response', 'hitting', 'send', 'change', 'mind']",0.96,0.01,0.01,0.01,0.01,1
19,19,story1,"A week later, Carmen was boarding her plane at the Chicago airport.",120,120,0,0.0,"['week', 'later', 'carmen', 'boarding', 'plane', 'chicago', 'airport']",0.01,0.94,0.01,0.01,0.01,2
20,20,story1,She was both nervous and excited.,122,122,0,0.1666666666666666,"['nervous', 'excited']",0.05,0.8,0.05,0.05,0.05,2
21,21,story1,"After a layover in Lima, it was a short flight to Puerto Maldonado, a small town at the edge of the Amazon jungle.",131,131,0,0.0,"['layover', 'lima', 'short', 'flight', 'puerto', 'maldonado', 'small', 'town', 'edge', 'amazon', 'jungle']",0.01,0.01,0.01,0.01,0.96,5
22,22,story1,"As the plane started to descend, Carmen looked down eagerly at the landscape below: a carpet of blue-green trees, with a brown river snaking through it.",141,141,0,0.0,"['plane', 'started', 'descend', 'carmen', 'looked', 'eagerly', 'landscape', 'carpet', 'blue', 'green', 'tree', 'brown', 'river', 'snaking']",0.01,0.01,0.01,0.01,0.97,5
23,23,story1,"It looked beautiful, and completely wild.",144,144,0,0.5,"['looked', 'beautiful', 'completely', 'wild']",0.03,0.9,0.03,0.03,0.03,2
24,24,story1,"Stepping out onto the runway, a blast of steamy air hit Carmen’s face, filling her mouth and nostrils.",151,151,0,0.0,"['stepping', 'onto', 'runway', 'blast', 'steamy', 'air', 'hit', 'carmen', 'face', 'filling', 'mouth', 'nostril']",0.01,0.01,0.97,0.01,0.01,3
25,25,story1,"Whoa, she thought to herself. Welcome to the jungle.",154,154,0,0.2222222222222222,"['whoa', 'thought', 'welcome', 'jungle']",0.03,0.03,0.9,0.03,0.03,3
26,26,story1,"Inside the tiny airport terminal, a man stood clutching a piece of paper with Carmen’s name on it.",161,161,0,0.0,"['inside', 'tiny', 'airport', 'terminal', 'man', 'stood', 'clutching', 'piece', 'paper', 'carmen', 'name']",0.96,0.01,0.01,0.01,0.01,1
27,27,story1,"“Antonio,” the man said, pointing at his chest.",164,164,0,0.0,"['antonio', 'man', 'pointing', 'chest']",0.9,0.03,0.03,0.03,0.03,1
28,28,story1,He motioned for Carmen to follow him.,167,167,0,0.0,"['motioned', 'carmen', 'follow']",0.03,0.03,0.03,0.87,0.03,4
29,29,story1,They walked out of the terminal and Carmen was once again hit by a wave of humid air.,172,172,0,0.0,"['walked', 'terminal', 'carmen', 'hit', 'wave', 'humid', 'air']",0.01,0.94,0.01,0.01,0.01,2
30,30,story1,Antonio led her to a run-down motorcycle with a seat attached to the back.,177,177,0,0.0,"['antonio', 'led', 'run', 'motorcycle', 'seat', 'attached', 'back']",0.01,0.01,0.01,0.01,0.94,5
31,31,story1,"Carmen sat down apprehensively, but once Antonio started driving, the breeze felt wonderful against Carmen’s skin.",184,184,0,0.25,"['carmen', 'sat', 'apprehensively', 'antonio', 'started', 'driving', 'breeze', 'felt', 'wonderful', 'carmen', 'skin']",0.01,0.01,0.96,0.01,0.01,3
32,32,story1,The main road through the town was full of sights and sounds: children darted between the vehicles; women in flip-flops carried huge baskets full of goods; street vendors sold giant tropical fruits that Carmen could not name.,199,199,0,-0.027027027027027,"['main', 'road', 'town', 'full', 'sight', 'sound', 'child', 'darted', 'vehicle', 'woman', 'flip', 'flop', 'carried', 'huge', 'basket', 'full', 'good', 'street', 'vendor', 'sold', 'giant', 'tropical', 'fruit', 'carmen', 'name']",0.0,0.98,0.0,0.0,0.0,2
33,33,story1,"Soon, Antonio turned onto a side street, which led down to a river.",204,204,0,0.0,"['soon', 'antonio', 'turned', 'onto', 'side', 'street', 'led', 'river']",0.01,0.01,0.01,0.01,0.95,5
34,34,story1,"There, a boat was waiting to take her on the final leg of the journey to the remote village.",209,209,0,0.0,"['boat', 'waiting', 'final', 'leg', 'journey', 'remote', 'village']",0.01,0.01,0.01,0.01,0.94,5
35,35,story1,"Once Carmen and her suitcase were safely inside the boat, the driver set off on the river.",215,215,0,0.0588235294117647,"['carmen', 'suitcase', 'safely', 'inside', 'boat', 'driver', 'set', 'river']",0.01,0.95,0.01,0.01,0.01,2
36,36,story1,"By this time, the sun was setting, and Carmen swatted away mosquitos as the driver whistled to himself.",221,221,0,0.0,"['time', 'sun', 'setting', 'carmen', 'swatted', 'away', 'mosquito', 'driver', 'whistled']",0.01,0.96,0.01,0.01,0.01,2
37,37,story1,"The water was calm, the air still;",224,224,0,0.2857142857142857,"['water', 'calm', 'air']",0.03,0.03,0.03,0.87,0.03,4
38,38,story1,Carmen suddenly felt very far from everything and everyone she knew.,229,229,0,0.0,"['carmen', 'suddenly', 'felt', 'far', 'everything', 'everyone', 'knew']",0.01,0.94,0.01,0.01,0.01,2
39,39,story1,"After what felt like a very long time, the driver turned the boat toward shore.",235,235,0,0.1333333333333333,"['felt', 'long', 'time', 'driver', 'turned', 'boat', 'toward', 'shore']",0.01,0.01,0.01,0.95,0.01,4
40,40,story1,She wondered how he had recognized their destination: there was no sign of civilization anywhere.,241,241,0,-0.0666666666666666,"['wondered', 'recognized', 'destination', 'sign', 'civilization', 'anywhere']",0.93,0.02,0.02,0.02,0.02,1
41,41,story1,"Carmen climbed awkwardly onto the muddy riverbank, trying to keep her balance in the fading light.",248,248,0,-0.125,"['carmen', 'climbed', 'awkwardly', 'onto', 'muddy', 'riverbank', 'trying', 'keep', 'balance', 'fading', 'light']",0.01,0.96,0.01,0.01,0.01,2
42,42,story1,"Just as she managed to lift her suitcase up beside her, she looked over her shoulder to see the driver was already motoring back up the river.",257,257,0,0.0,"['managed', 'lift', 'suitcase', 'beside', 'looked', 'shoulder', 'driver', 'already', 'motoring', 'back', 'river']",0.01,0.01,0.01,0.96,0.01,4
43,43,story1,"“Wait!” she called out, alarmed. “Where do I go from here?”",261,261,1,-0.1818181818181818,"['wait', 'called', 'alarmed', 'go']",0.03,0.03,0.03,0.03,0.9,5
44,44,story1,Her voice was drowned out by the buzzing of insects and rushing of the river.,266,266,0,-0.1333333333333333,"['voice', 'drowned', 'buzzing', 'insect', 'rushing', 'river']",0.93,0.02,0.02,0.02,0.02,1
45,45,story1,"She looked around: Nothing but dense, shadowy rainforest.",271,271,0,0.0,"['looked', 'around', 'nothing', 'dense', 'shadowy', 'rainforest']",0.02,0.02,0.02,0.02,0.93,5
46,46,story1,"Just as she was about to panic, she heard footsteps from within the brush.",276,276,0,-0.2142857142857142,"['panic', 'heard', 'footstep', 'within', 'brush']",0.02,0.02,0.02,0.92,0.02,4
47,47,story1,"A man emerged from the trees, holding a lantern.",280,280,0,0.0,"['man', 'emerged', 'tree', 'holding', 'lantern']",0.02,0.02,0.02,0.92,0.02,4
48,48,story1,"When he saw Carmen, he smiled broadly.",283,283,0,0.2857142857142857,"['saw', 'carmen', 'smiled', 'broadly']",0.03,0.03,0.03,0.03,0.9,5
49,49,story1,"“Hello, Dr Carmen!” he said. “I’m Juan. Juan Torres. We thank you very much for coming to serve our village.”",291,291,0,0.1,"['hello', 'dr', 'carmen', 'juan', 'juan', 'torres', 'thank', 'coming', 'serve', 'village']",0.01,0.96,0.01,0.01,0.01,2
50,50,story1,"Though he spoke with a heavy accent, his English was very good.",295,295,0,0.25,"['though', 'spoke', 'heavy', 'accent', 'english', 'good']",0.93,0.02,0.02,0.02,0.02,1
51,51,story1,"With a sigh of relief, Carmen smiled and shook his hand.",299,299,0,0.0,"['sigh', 'relief', 'carmen', 'smiled', 'shook', 'hand']",0.02,0.93,0.02,0.02,0.02,2
52,52,story1,Juan led her down a narrow path through the forest.,303,303,0,0.0,"['juan', 'led', 'narrow', 'path', 'forest']",0.02,0.02,0.02,0.92,0.02,4
53,53,story1,"Carmen struggled to keep up, tugging her suitcase over the uneven ground.",308,308,0,-0.1666666666666666,"['carmen', 'struggled', 'keep', 'tugging', 'suitcase', 'uneven', 'ground']",0.01,0.01,0.94,0.01,0.01,3
54,54,story1,"Soon, they emerged into a clearing.",311,311,0,0.0,"['soon', 'emerged', 'clearing']",0.03,0.03,0.03,0.03,0.87,5
55,55,story1,"It was nearly pitch black now, but Carmen could make out the shapes of huts with thatched roofs.",317,317,0,0.0,"['nearly', 'pitch', 'black', 'carmen', 'shape', 'hut', 'thatched', 'roof']",0.01,0.01,0.95,0.01,0.01,3
56,56,story1, Juan ushered her toward one of them.,320,320,0,0.0,"['juan', 'ushered', 'toward', 'one']",0.03,0.9,0.03,0.03,0.03,2
57,57,story1," Inside were a few pieces of simple wooden furniture: a bed frame, covered by a thin mattress, and a small table.",327,327,0,0.0,"['inside', 'piece', 'simple', 'wooden', 'furniture', 'bed', 'frame', 'covered', 'thin', 'mattress', 'small', 'table']",0.01,0.97,0.01,0.01,0.01,2
58,58,story1,The floor was packed dirt.,329,329,0,-0.4,"['floor', 'packed', 'dirt']",0.03,0.03,0.87,0.03,0.03,3
59,59,story1,Juan put the lantern on the table.,331,331,0,0.0,"['juan', 'put', 'lantern', 'table']",0.03,0.9,0.03,0.03,0.03,2
60,60,story1,"“You must be very tired from the journey,” he said. “You should rest now. We will see each other tomorrow.”",338,338,0,-0.1,"['tired', 'journey', 'rest', 'tomorrow']",0.03,0.03,0.03,0.9,0.03,4
61,61,story1,He nodded and bowed out of the hut.,341,341,0,0.0,"['nodded', 'bowed', 'hut']",0.87,0.03,0.03,0.03,0.03,1
62,62,story1,"As soon as Carmen sat down on the bed, she felt completely exhausted.",345,345,0,-0.1538461538461538,"['soon', 'carmen', 'sat', 'bed', 'felt', 'completely', 'exhausted']",0.01,0.94,0.01,0.01,0.01,2
63,63,story1,"She arranged the mosquito net around her as best she could, and fell immediately into a deep sleep.",352,352,0,0.1666666666666666,"['arranged', 'mosquito', 'net', 'around', 'best', 'fell', 'immediately', 'deep', 'sleep']",0.96,0.01,0.01,0.01,0.01,1
64,64,story1,Carmen woke the next morning to sunlight streaming through the wooden slats of the hut.,359,359,0,0.0,"['carmen', 'woke', 'next', 'morning', 'sunlight', 'streaming', 'wooden', 'slat', 'hut']",0.01,0.01,0.01,0.96,0.01,4
65,65,story1,She had no idea how long she’d slept.,361,361,0,-0.125,"['idea', 'long', 'slept']",0.03,0.03,0.03,0.03,0.86,5
66,66,story1,She propped herself up on one elbow and squinted at her surroundings.,366,366,0,0.0,"['propped', 'one', 'elbow', 'squinted', 'surroundings']",0.02,0.02,0.02,0.02,0.92,5
67,67,story1,"Suddenly, she heard a rustling in the corner.",369,369,0,0.0,"['suddenly', 'heard', 'rustling', 'corner']",0.03,0.9,0.03,0.03,0.03,2
68,68,story1,"A small figure stood there, holding a broom made from palm leaves.",373,373,0,0.0,"['small', 'figure', 'stood', 'holding', 'broom', 'palm', 'leaf']",0.94,0.01,0.01,0.01,0.01,1
69,69,story1,"Carmen nearly screeched in shock, but stopped herself at the last moment, so that what came out was a garbled yell.",380,380,1,-0.1428571428571428,"['carmen', 'nearly', 'screeched', 'shock', 'stopped', 'last', 'moment', 'garbled', 'yell']",0.01,0.96,0.01,0.01,0.01,2
70,70,story1,The noise frightened the girl and she jumped back.,383,383,1,-0.2222222222222222,"['noise', 'frightened', 'girl', 'jumped', 'back']",0.02,0.02,0.02,0.02,0.92,5
71,71,story1,"“Sorry, you startled me!” Carmen said.",387,387,1,-0.5,"['sorry', 'startled', 'carmen']",0.03,0.03,0.03,0.87,0.03,4
72,72,story1,The girl continued to stare at her with huge brown eyes.,391,391,0,0.0909090909090909,"['girl', 'continued', 'stare', 'huge', 'brown', 'eye']",0.02,0.02,0.02,0.02,0.93,5
73,73,story1,She looked to be around 11 or 12 years old.,394,394,0,0.0,"['looked', 'around', '11', '12', 'year', 'old']",0.02,0.02,0.93,0.02,0.02,3
74,74,story1,It dawned on Carmen that she probably didn’t speak English.,398,398,0,0.0,"['dawned', 'carmen', 'probably', 'speak', 'english']",0.02,0.02,0.02,0.92,0.02,4
75,75,story1,"“Carmen,” Carmen said, pointing at her chest.",402,402,1,0.0,"['carmen', 'carmen', 'pointing', 'chest']",0.03,0.9,0.03,0.03,0.03,2
76,76,story1,"“Alba,” the girl answered, pointing at her own.",406,406,1,0.0,"['alba', 'girl', 'answered', 'pointing']",0.03,0.03,0.03,0.9,0.03,4
77,77,story1,"“Juan?” Carmen asked, holding up her hands, hoping the girl could lead her to the man from the night before.",413,413,1,0.1,"['juan', 'carmen', 'asked', 'holding', 'hand', 'hoping', 'girl', 'lead', 'man', 'night']",0.96,0.01,0.01,0.01,0.01,1
78,78,story1,"Nodding, Alba motioned for Carmen to follow her outside, and Carmen got her first glimpse of the village in daylight.",420,420,0,0.0,"['nodding', 'alba', 'motioned', 'carmen', 'follow', 'outside', 'carmen', 'first', 'glimpse', 'village', 'daylight']",0.01,0.01,0.01,0.96,0.01,4
79,79,story1,Her hut was near what appeared to be the village center.,424,424,0,0.0,"['hut', 'near', 'appeared', 'village', 'center']",0.92,0.02,0.02,0.02,0.02,1
80,80,story1,"Women stood around small fires, smoking meats and stirring soups.",429,429,0,0.0,"['woman', 'stood', 'around', 'small', 'fire', 'smoking', 'meat', 'stirring', 'soup']",0.01,0.01,0.01,0.96,0.01,4
81,81,story1,"Children ran around them, dodging vines on the ground.",433,433,0,-0.2222222222222222,"['child', 'ran', 'around', 'dodging', 'vine', 'ground']",0.02,0.02,0.02,0.93,0.02,4
82,82,story1,A group of teenage boys was hard at work constructing a new hut.,437,437,0,-0.0769230769230769,"['group', 'teenage', 'boy', 'hard', 'work', 'constructing', 'new', 'hut']",0.01,0.01,0.01,0.95,0.01,4
83,83,story1,"Scanning the scene, Carmen spotted Juan across the clearing, deep in conversation with a small group of men.",443,443,0,0.0,"['scanning', 'scene', 'carmen', 'spotted', 'juan', 'clearing', 'deep', 'conversation', 'small', 'group', 'men']",0.01,0.01,0.01,0.96,0.01,4
84,84,story1,"Their clothing was more decorative than most of the other villagers’, which made Carmen think they were leaders of some sort.",450,450,0,0.0,"['clothing', 'decorative', 'villager', 'carmen', 'think', 'leader', 'sort']",0.01,0.94,0.01,0.01,0.01,2
85,85,story1,"When Juan noticed her, he whispered something to the other men, who also turned to stare at Carmen.",457,457,0,0.0,"['juan', 'noticed', 'whispered', 'something', 'men', 'turned', 'stare', 'carmen']",0.01,0.01,0.01,0.01,0.95,5
86,86,story1,"For a brief moment Carmen felt uncomfortable, but then Juan broke into a smile and strode over.",463,463,0,-0.0588235294117647,"['brief', 'moment', 'carmen', 'felt', 'uncomfortable', 'juan', 'broke', 'smile', 'strode']",0.01,0.96,0.01,0.01,0.01,2
87,87,story1,"“Dr Carmen, good morning!” he said.  “I will show you to the clinic now, yes?”",469,469,0,0.25,"['dr', 'carmen', 'good', 'morning', 'show', 'clinic', 'yes']",0.01,0.94,0.01,0.01,0.01,2
88,88,story1,"“Yes, please,” Carmen said, eager to get started.",473,473,0,0.5,"['yes', 'please', 'carmen', 'eager', 'started']",0.02,0.02,0.02,0.02,0.92,5
89,89,story1,Juan led Carmen down a short path to a hut that looked identical to her own.,478,478,0,0.0,"['juan', 'led', 'carmen', 'short', 'path', 'hut', 'looked', 'identical']",0.01,0.01,0.01,0.95,0.01,4
90,90,story1,"Inside were two mattresses placed directly on the ground, plus a makeshift table.",484,484,0,0.0,"['inside', 'two', 'mattress', 'placed', 'directly', 'ground', 'plus', 'makeshift', 'table']",0.01,0.01,0.96,0.01,0.01,3
91,91,story1,"The only medical supplies appeared to be an old-fashioned stethoscope, a thermometer, and a half-empty box of bandages.",491,491,0,-0.0555555555555555,"['medical', 'supply', 'appeared', 'old', 'fashioned', 'stethoscope', 'thermometer', 'half', 'empty', 'box', 'bandage']",0.01,0.01,0.01,0.96,0.01,4
92,92,story1,"“Hmm, that’s funny. Dr Torreson said the clinic was well stocked…” Carmen started to say.",498,498,1,0.2666666666666666,"['hmm', 'funny', 'dr', 'torreson', 'clinic', 'stocked', 'carmen', 'started', 'say']",0.01,0.01,0.01,0.01,0.96,5
93,93,story1,"“Dr Torreson?” Juan repeated, looking confused.",502,502,1,-0.3333333333333333,"['dr', 'torreson', 'juan', 'repeated', 'looking', 'confused']",0.02,0.02,0.93,0.02,0.02,3
94,94,story1,"“Ah, sí, Señor Torreson, of course. The organization has promised to send us replacement supplies, but they have not arrived yet.",511,511,1,0.0476190476190476,"['ah', 'sí', 'señor', 'torreson', 'course', 'organization', 'promised', 'send', 'u', 'replacement', 'supply', 'arrived', 'yet']",0.01,0.01,0.01,0.01,0.97,5
95,95,story1,"The shipments are always being delayed, you know,” he added apologetically.",515,515,1,-0.0909090909090909,"['shipment', 'always', 'delayed', 'know', 'apologetically']",0.02,0.02,0.92,0.02,0.02,3
96,96,story1,"“That’s okay,” Carmen said.",518,518,0,0.0,"['okay', 'carmen']",0.05,0.8,0.05,0.05,0.05,2
97,97,story1,She would have to make do with small bag of supplies she had brought with her until the shipment arrived.,524,524,0,0.0,"['small', 'bag', 'supply', 'brought', 'shipment', 'arrived']",0.02,0.02,0.02,0.93,0.02,4
98,98,story2,"During Carmen’s first few days in the clinic, most of the patients she saw had fairly minor problems: cuts and scrapes, toothaches, indigestion.",536,10,0,-0.1304347826086956,"['carmen', 'first', 'day', 'clinic', 'patient', 'saw', 'fairly', 'minor', 'problem', 'cut', 'scrape', 'toothache', 'indigestion']",0.01,0.97,0.01,0.01,0.01,2
99,99,story2,"Carmen had a feeling that many of the people came less out of health concerns and more out of curiosity, to see the foreign woman who spoke broken Spanish and wore funny clothes, but she didn’t mind.",549,23,0,0.1081081081081081,"['carmen', 'feeling', 'people', 'le', 'health', 'concern', 'curiosity', 'foreign', 'woman', 'spoke', 'broken', 'spanish', 'wore', 'funny', 'clothes', 'mind']",0.01,0.97,0.01,0.01,0.01,2
100,100,story2,She found them just as interesting as they found her.,552,26,0,0.2,"['found', 'interesting', 'found']",0.03,0.03,0.87,0.03,0.03,3
101,101,story2,Most of them spoke a mix of Spanish and another language native to the region.,556,30,0,0.0,"['spoke', 'mix', 'spanish', 'language', 'native', 'region']",0.02,0.93,0.02,0.02,0.02,2
102,102,story2,"When Juan was around, he could translate, but mostly Carmen and her patients got by with hand gestures and facial expressions.",563,37,0,0.0,"['juan', 'around', 'translate', 'mostly', 'carmen', 'patient', 'hand', 'gesture', 'facial', 'expression']",0.01,0.96,0.01,0.01,0.01,2
103,103,story2,"The villagers appreciated her help, and Carmen found it very fulfilling to care for them.",569,43,0,0.4,"['villager', 'appreciated', 'help', 'carmen', 'found', 'fulfilling', 'care']",0.01,0.94,0.01,0.01,0.01,2
104,104,story2,"Though she had been shy in the beginning, Alba proved a wonderful companion.",575,49,0,0.2307692307692307,"['though', 'shy', 'beginning', 'alba', 'proved', 'wonderful', 'companion']",0.01,0.94,0.01,0.01,0.01,2
105,105,story2,"Each morning, she would bring Carmen a potent mix of leaves in hot water, and a breakfast of mashed plantains and fried pork.",582,56,0,0.0,"['morning', 'bring', 'carmen', 'potent', 'mix', 'leaf', 'hot', 'water', 'breakfast', 'mashed', 'plantain', 'fried', 'pork']",0.01,0.01,0.01,0.01,0.97,5
106,106,story2,"In the evenings, after Carmen left the clinic, Alba would often come by her hut.",588,62,0,0.0,"['evening', 'carmen', 'left', 'clinic', 'alba', 'often', 'hut']",0.01,0.01,0.01,0.94,0.01,4
107,107,story2,"She was supposed to clean for Carmen, but the two usually ended up playing games or telling stories instead.",594,68,0,0.1052631578947368,"['supposed', 'clean', 'carmen', 'two', 'usually', 'ended', 'playing', 'game', 'telling', 'story', 'instead']",0.01,0.96,0.01,0.01,0.01,2
108,108,story2,"Alba was patient with Carmen’s slow Spanish, and Carmen’s language skills improved.",599,73,0,0.1666666666666666,"['alba', 'patient', 'carmen', 'slow', 'spanish', 'carmen', 'language', 'skill', 'improved']",0.01,0.01,0.01,0.96,0.01,4
109,109,story2,"In turn, Carmen began to teach Alba English.",603,77,0,0.0,"['turn', 'carmen', 'began', 'teach', 'alba', 'english']",0.02,0.02,0.93,0.02,0.02,3
110,110,story2,"The girl picked up words amazingly fast, and soon she could name most everything she saw: bed, table, hut; man, woman, child; river, tree, fire. Doctor, sick, cure.",621,95,0,-0.1428571428571428,"['girl', 'picked', 'word', 'amazingly', 'fast', 'soon', 'name', 'everything', 'saw', 'bed', 'table', 'hut', 'man', 'woman', 'child', 'river', 'tree', 'fire', 'doctor', 'sick', 'cure']",0.0,0.0,0.0,0.98,0.0,4
111,111,story2,"After Carmen had been in the village for about a week, a patient came to the clinic with a bad fever.",628,102,0,-0.238095238095238,"['carmen', 'village', 'week', 'patient', 'clinic', 'bad', 'fever']",0.01,0.94,0.01,0.01,0.01,2
112,112,story2,The patient was an older woman named Maria whom Carmen didn’t recognize;,633,107,1,0.0,"['patient', 'older', 'woman', 'named', 'maria', 'carmen', 'recognize']",0.01,0.01,0.01,0.94,0.01,4
113,113,story2,"According to Alba, Maria had come from another village down the river.",638,112,1,0.0,"['according', 'alba', 'maria', 'village', 'river']",0.92,0.02,0.02,0.02,0.02,1
114,114,story2,"Carmen gave her medication and had her drink plenty of water, but Maria’s fever just got worse.",644,118,0,-0.2941176470588235,"['carmen', 'gave', 'medication', 'drink', 'plenty', 'water', 'maria', 'fever', 'worse']",0.01,0.01,0.96,0.01,0.01,3
115,115,story2,"She also had a strange rash across her chest and back, like nothing Carmen had ever seen.",650,124,0,-0.0588235294117647,"['strange', 'rash', 'chest', 'back', 'nothing', 'carmen', 'ever', 'seen']",0.01,0.95,0.01,0.01,0.01,2
116,116,story2,Carmen told Maria she should stay in the clinic overnight until she felt better.,655,129,0,0.1428571428571428,"['carmen', 'told', 'maria', 'stay', 'clinic', 'overnight', 'felt', 'better']",0.01,0.01,0.01,0.95,0.01,4
